,Actress_Name,actress_link,Available_photos,Available_videos,Rank,Profile_views,Video_views,Subscribers,Country,Age,Eye,Hair,Height,Weight,Cup,Measurements,Alias,Official_website,Twitter,Instagram,Bio
30,Janice Griffith,https://www.eporner.com/pornstar/janice-griffith-1/,236,253,31,3286601,27726484,241,USA,27,Brown,Brown,"160 cm / 5'3""",39 kg / 86 lbs,C,32C-23-32,Janice,,https://twitter.com/rejaniced,https://instagram.com/rejaniced,"Don’t let her last name fool you; Griffith is a fiery Latina woman who knows how to keep all of the camera’s attention on her. Born on July 3rd, 1993, she was gifted with brown hair, brown eyes, a tiny body that only weighs 86lbs, and a good height at 5’3’’. Griffith is currently still working in the adult film industry as of 2020, and she does not shy away from hard work or intense scenes. When she is not working, she enjoys relaxing and scrolling on her Facebook and Instagram pages. If you check out her IMDB page, you can see all of the films she has acted in, and it shows that she is a versatile actress who loves to work in many categories. Her last film was Red Light Arena. For such a small and thin body, Griffith has generous C cup breasts, and her measurements are 32C-23-32."
31,Emily Willis,https://www.eporner.com/pornstar/emily-willis/,423,666,32,3453432,26306360,371,USA,24,Brown,Black,"165 cm / 5'5""",50 kg / 110 lbs,32A,32-24-34,,https://onlyfans.com/emilywillisxxx,https://twitter.com/emilywillisxoxo,https://instagram.com/emilywillisx3,"Emily’s official porn career started in February of 2018. Mostly she made lesbian and hardcore porn. Difference between these scenes is that in her lesbian scenes she is always dominant, and in hardcore scenes she is submissive. Kinky, right? Emily played with great pornstars: Ariana Marie, Charlotte Stokely, India Summer, Jade Luv, Marica Hase, Ryan Keely, Sami Parker, Sofi Ryan etc. Emilly Willis love facials and want cum scenes to end on her face. Some achievements: CherryPimps Cherry Of The Month January 2019. Twistys Treat Of The Month March 2019. Penthouse Pet Of The Month May 2019. Nubiles Flavor Of The Month March 2021."
32,Ariella Ferrera,https://www.eporner.com/pornstar/ariella-ferrera/,1804,1455,33,3047613,24539525,193,Colombia,44,Hazel,Brown,"170 cm / 5'7""",52 kg / 114 lbs,DD,34DD-25-34,"Ariella Ferrara,Ariella Karups,Elle Ferrera",http://fancentro.com/r/bcqwlzge/ariellaferrera,https://twitter.com/ariellaferrera,https://instagram.com/ariellaferreraofficial,"When you think of beautiful foreign women, what countries do you think of? Russia, Czech Republic, Brazil? Well, don't forget Ariella Ferrera, who is from Colombia. Born on January 15th, 1979, Ariella has long brown hair and mesmerizing hazel eyes. She's about 5 ft 7 in tall and weighs only 114 lb. As she grew up with her family, she moved to the city of Chicago at the age of 5. After she graduated high school, she worked as a dental hygienist for a few years. When she was 30 years old, which is quite late for a brand-new pornstar, she was going to work in the adult film industry. In 2011, one year after she started performing in adult movies, she was nominated for the 2011 AVN Best All-Girl 3-Way Sex Scene. She currently has a home in Mission Viejo, California. Her cup size is Double D, and her measurements are 34DD-25-34."
33,Kenzie Reeves,https://www.eporner.com/pornstar/kenzie-reeves-MLauo/,289,1017,34,3284344,27663454,452,USA,25,Brown,Blonde,"147 cm / 4'10""", 41 kg / 90 lbs,32B,32-22-30,,,https://twitter.com/KenzieReevesxxx,https://instagram.com/kenziereevesofficial,
34,Bridgette B,https://www.eporner.com/pornstar/bridgette-b/,1887,344,35,2784835,26431982,265,Spain,39,Brown,Blond,"173 cm / 5'8""",59 kg / 130 lbs,DD,34DD-27-34,"Brigitte B,Spanish Doll",https://itsbridgetteb.com/,https://twitter.com/iamspanishdoll,https://instagram.com/thisisbridgetteb,"Bridgette B Is a tall blonde Spanish woman that we just can't take her eyes off. At 5 ft 8 in tall and 130 lb, she is well-made. Her cup size is Double D, and her measurements are 34DD-27-34. Born in Spain on October 15th, 1983, she has big brown eyes and a great big smile as well. In her early twenties, she moved to the United States and began working as a dancer. She also went to a large University in Ohio, where she was doing quite well. She began working in the adult entertainment industry in 2008 and received a breast augmentation to make your breasts larger. In January 2012, Bridget won the award for AVN's Unrecognized Female Artist of the year. She's still active in the year 2020 and is making even more movies. When she's not filming, she is active on her Twitter and her Instagram."
35,Alexis Fawx,https://www.eporner.com/pornstar/alexis-fawx/,950,1004,36,3217872,23646651,261,United States,47,Hazel,Black,"162 cm / 5'4""",100 / 220 lbs,DD,32DD-23-33,,,https://twitter.com/alexisfawx,https://instagram.com/alexisfawxlive,"As long as she has been alive, Alexis Fox has never wanted to stay on the sidelines. She was born to be a wild child, and she loved partying and drinking when she was younger. Alexis is a black haired Caucasian woman with hazel eyes, and she was born on June 23rd, 1975. She's about 5ft 4in tall, and she only weighs 100lbs. Her body is quite thin and waif-like, but her chest is nothing to forget about. She has DD breasts, and her measurements are 32DD-23-33. Alexis grew up in Pennsylvania. After High School, she joined the military. Alexis has never shied away from 6 and has had sex with both men and women. It was after 2005 when she finally answered in her first-ever completely lesbian relationship. She started in the porn industry when she was about 35 years old when she responded to a Craigslist ad for extras on a set."
36,Chanel Preston,https://www.eporner.com/pornstar/chanel-preston/,1645,322,37,2767138,23949842,185,United States,37,Hazel,Brown,"173 cm / 5'8""",59 kg / 130lbs,D,32D-28-30,"Chanel Payton,Chanel Prestor,Channel Preston",http://www.chanelpreston.com/,https://twitter.com/chanelpreston,https://www.instagram.com/chanelpreston.officiall/,"Born on December 12th, 1985, Chanel Preston was born and raised in Alaska, which is practically the Land of Snow and bears. At 5ft 8in tall and 130 lb, anywhere Chanel goes, she really does attract watchers and star-studded fans. She has beautiful hazel eyes and long brown hair, but she usually keeps in a ponytail or a bun. She is a D cup, and her measurements are 32D. 28-30. Before getting into the adult film industry, She ditched the snowy land of her youth and moved all the way down to Hawaii at age 19. In Hawaii, she worked as a licensed esthetician and then found employment for nearly two years as a stripper. In 2010, she began her adult film industry career. Although she performed many more times, she also wanted to do more for the adult film community. In 2013 she became the president of The Adult Performer Advocacy Committee."
37,Jessa Rhodes,https://www.eporner.com/pornstar/jessa-rhodes-tzQg8/,1166,297,38,2813721,23563058,224,United States,29,Blue,Blonde,"168 cm / 5'6""",55 kg / 121 lbs,B,34B-29-36,,,https://twitter.com/missjessarhodes,https://instagram.com/missjessarhodes,"Jessa Rhodes is one of those classic, beautiful blond women that are just wonderful to be around. With a healthy weight of 121lb and her height is 5ft 6in, anyone who Jessa allows to be next to her is a lucky person indeed. She was born on July 29th, 1993, Far outside of any major city. She was born in the rural part of Oregon, and she just couldn't wait to leave as she grew older. We understand exactly why she wanted to leave; she had six siblings! Jessa is a Caucasian woman with big blue eyes and long blonde hair, her cup size is a B, and her measurements are 34B-29-36. By 17 years old, she was working as a stripper and then became a nude model. After working as a nude model, she then became a webcam girl, and then finally, she entered the adult entertainment industry."
38,Jada Stevens,https://www.eporner.com/pornstar/jada-stevens/,448,385,39,2975136,28416335,244,USA,34,Hazel,Blonde,"160 cm / 5'3""",52 kg / 114 lbs,B,34B-26-36,"Jacia Stevens,Jada Karups,Jade Stevens,Jayda Stevens",,https://twitter.com/jadastevens420,https://instagram.com/2cheekzback,"Whoever said that caucasian could not command the red screen did not know Jada Stevens. Born on July 4th, 1988, she is 5’3’’, 114lbs, and she has B cups. Her measurements are 34B-26-36. She has lovely hazel eyes and long brown hair. Her real name is Candace Jackson, and she currently has a very active Twitter and Instagram account. She is well known for her voluptuous rear end, which she has many many pictures and videos dedicated to. Stevens performs with many women and men. She has a few lighthearted videos on Youtube and enjoys remaking her hair in wild and crazy designs."
39,Eva Lovia,https://www.eporner.com/pornstar/eva-lovia-ExlSs/,459,202,40,3226259,23598129,204,USA,33,Hazel,Brown,"160 cm / 5'3""",52 kg / 114 lbs,D,32D-29-32,"Eva FTV,Eva Loria,Evalovia,Mia Marx,Miss Eva Lovia",https://fallinlovia.com/,https://twitter.com/fallinlovia,https://instagram.com/Lovialongtime,"Her real name may be Candice Clarke, but she is and will always be the beautiful Eva Lovia to us. Born on May 29, 1989, in the humid world of South Carolina, Lovia has been working in the adult film industry for several years now. Her measurements are 32D-29-32, and she has D cup breasts. She is 5’3 and 114lbs and has hazel eyes and brown hair. When she was young, she moved to upstate New York and waitressed in several eateries before becoming an adult film actress. She was able to graduate college while working as an adult actress as her school never kicked her out. Lovia enjoys performing in many parody porn films and has done Star Wars and Kill Bill parodies. Lovia is a beautiful Asian girl and is one of the hottest stars right now. In 2015, she developed her own Fleshlight and was starting to work as a director."
40,Alexis Crystal,https://www.eporner.com/pornstar/alexis-crystal-FyLXY/,1073,240,41,2605759,27139579,167,Czech Republic,30,Brown,Brown,"163 cm / 5'4""",50 kg / 110 lbs,A,34A-25-35,"Alexis C Sapphic,Alexis Joymii,Anouk,Anouk I,Carrie X Art,Domi,Dominika,Liz,Liz Wetanspuffy,Lizetta,Sindy",https://onlyfans.com/alexiscrystal,https://twitter.com/alexiscrystal3,https://instagram.com/realalexiscrystal,"If you are searching for a wonderful city to visit, go to Prague! It’s located in the Czech Republic, and the city has art, culture, entertainment, and a beautiful porn star named Alexis Crystal. Born on January 1st, 1990, she is a caucasian woman who stands at 5’4’’ tall. Alexis is active on her social media accounts, and she often posts pictures of herself. She enjoys showing off her brown hair, brown eyes, and A cups. Her measurements are 34A-25-36. If any of her fans want to get to know her on a more intimate level, they can subscribe to her Onlyfans accounts and watch her many video entries. Although she is based in Europe, she has gone back and forth and worked with both American and European adult studios because she wants her films to have variety. In 2015 and 2016, she was nominated for Foreign Female of the Year by the AVN awards."
